,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_step_500_mlp.0.weight_alpha,,,,0.0032764070201665163,0.0032764070201665163,0.002721840515732765,0.0019397892756387591,0.0018829904729500413,0.0018829904729500413
weights_step_500_mlp.0.weight_alpha_hat,,,,0.005000893026590347,0.005000893026590347,0.0044146147556602955,0.004633421078324318,0.0033153435215353966,0.0033153435215353966
weights_step_500_mlp.1.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.1.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.1.weight_mean,,,,0.011129070073366165,0.011129070073366165,0.009799734689295292,0.007516615092754364,0.008652633987367153,0.008652633987367153
weights_step_500_mlp.1.weight_median,,,,0.010232426226139069,0.010232426226139069,0.009927024133503437,0.009948637336492538,0.008426862768828869,0.008426862768828869
weights_step_500_mlp.1.weight_std,,,,0.00441915774717927,0.00441915774717927,0.001846365979872644,0.0025237631052732468,0.0009720027446746826,0.0009720027446746826
weights_step_500_mlp.1.weight_max,,,,0.004387059714645147,0.004387059714645147,0.0030406101141124964,0.003201558953151107,0.003541087731719017,0.003541087731719017
weights_step_500_mlp.1.weight_min,,,,0.004699002020061016,0.004699002020061016,0.0047397855669260025,0.006195122376084328,0.004259334411472082,0.004259334411472082
weights_step_500_mlp.1.weight_var,,,,0.001617315225303173,0.001617315225303173,0.0007539372891187668,0.0,0.0,0.0
weights_step_500_mlp.1.weight_frobenius_norm,,,,0.004728374537080526,0.004728374537080526,0.006036158185452223,0.003613140434026718,0.003787493333220482,0.003787493333220482
weights_step_500_mlp.1.weight_spectral_norm,,,,0.008861007168889046,0.008861007168889046,0.007546227890998125,0.0077941566705703735,0.004596838727593422,0.004596838727593422
weights_step_500_mlp.1.weight_alpha,,,,0.00403565214946866,0.00403565214946866,0.003562989877536893,0.003541052108630538,0.0028426554054021835,0.0028426554054021835
weights_step_500_mlp.1.weight_alpha_hat,,,,0.006741135846823454,0.006741135846823454,0.007700640242546797,0.007642928510904312,0.007006065919995308,0.007006065919995308
weights_step_500_mlp.2.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.2.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_mlp.2.weight_mean,,,,0.005482320208102465,0.005482320208102465,0.004730465821921825,0.004209219478070736,0.0044253235682845116,0.0044253235682845116
weights_step_500_mlp.2.weight_median,,,,0.0049436348490417,0.0049436348490417,0.0038712138775736094,0.0020302734337747097,0.00199985527433455,0.00199985527433455
weights_step_500_mlp.2.weight_std,,,,0.0013070289278402925,0.0013070289278402925,0.002363397739827633,0.0006930753006599844,0.0012699514627456665,0.0012699514627456665
weights_step_500_mlp.2.weight_max,,,,0.0025571954902261496,0.0025571954902261496,0.0010159793309867382,0.0011271446710452437,0.0011498457752168179,0.0011498457752168179
weights_step_500_mlp.2.weight_min,,,,0.0042215329594910145,0.0042215329594910145,0.003362442599609494,0.00284379068762064,0.004303259775042534,0.004303259775042534
weights_step_500_mlp.2.weight_var,,,,0.000831503130029887,0.000831503130029887,0.0005335570895113051,0.00013056582247372717,0.000574207108002156,0.000574207108002156
weights_step_500_mlp.2.weight_frobenius_norm,,,,0.0038742609322071075,0.0038742609322071075,0.003199115162715316,0.0021620020270347595,0.0024790780153125525,0.0024790780153125525
weights_step_500_mlp.2.weight_spectral_norm,,,,0.013061318546533585,0.013061318546533585,0.01392373163253069,0.015379868447780609,0.014070696197450161,0.014070696197450161
weights_step_500_mlp.2.weight_alpha,,,,0.003151155076920986,0.003151155076920986,0.0017789620906114578,0.0009611697751097381,0.0005734414444305003,0.0005734414444305003
weights_step_500_mlp.2.weight_alpha_hat,,,,0.005611575674265623,0.005611575674265623,0.00505424290895462,0.004147768020629883,0.004265537951141596,0.004265537951141596
weights_step_500_out.weight_input_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_out.weight_output_size,,,,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_500_out.weight_mean,,,,0.0037174057215452194,0.0037174057215452194,0.003266317071393132,0.003405630588531494,0.0009577900636941195,0.0009577900636941195
weights_step_500_out.weight_median,,,,0.004594064317643642,0.004594064317643642,0.003531387774273753,0.0028697792440652847,0.002086933935061097,0.002086933935061097
weights_step_500_out.weight_std,,,,0.0016427980735898018,0.0016427980735898018,0.000598419108428061,0.0008558518602512777,0.00020483868138398975,0.00020483868138398975
weights_step_500_out.weight_max,,,,0.0034213003236800432,0.0034213003236800432,0.003036787733435631,0.0013289450434967875,0.000961997255217284,0.000961997255217284
weights_step_500_out.weight_min,,,,0.003722523106262088,0.003722523106262088,0.0038752614054828882,0.001440136693418026,0.0021736081689596176,0.0021736081689596176
weights_step_500_out.weight_var,,,,0.0024782719556242228,0.0024782719556242228,0.0007759181899018586,0.0001479710335843265,0.0001160724859801121,0.0001160724859801121
weights_step_500_out.weight_frobenius_norm,,,,0.00477431109175086,0.00477431109175086,0.004092581104487181,0.00498902378603816,0.004090959206223488,0.004090959206223488
weights_step_500_out.weight_spectral_norm,,,,0.004568642005324364,0.004568642005324364,0.004650893155485392,0.004709344357252121,0.003045144258067012,0.003045144258067012
weights_step_500_out.weight_alpha,,,,0.004632481839507818,0.004632481839507818,0.002030733274295926,0.0023412248119711876,0.0023839010391384363,0.0023839010391384363
